category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol
Red,US,Testarossa 2013 Meritage (Santa Cruz Mountains),Meritage,54.0,750 ml,92,Testarossa,"Bright and fresh aromas of black currant and Concord grape meet with violet and a sense of chalkiness on the nose of this blend of 57% Cabernet Franc, 29% Cabernet Sauvignon and 14% Merlot. The sip is bone-dry, relying on a graphite backbone and relatively light body to carry forth purple fruit flavors.",14.4%
Red,US,Rex Hill 2014 Shea Vineyard Pinot Noir (Willamette Valley),Pinot Noir,58.0,750 ml,92,Rex Hill,"This spent 11 months in 41% new oak, and there's a tasty lick of caramel running through the midpalate. The fruit catches some purple plum and plenty of Bing cherry, with a dark chocolate frame around svelte tannins.",14.5%
Red,US,Gramercy 2013 Reserve Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,95.0,750 ml,92,Gramercy,"This wine is a blend of fruit from Bacchus, Phinny Hill and Loess vineyards. Brooding aromas of black cherry, herb and barrel spice are followed by pitch-black blackberry and game flavors, backed by tightly coiled tannins. It comes off as a bit richer than the norm for this winery but still delivers the goods. Best after 2022.",14.1%
White,US,Chamisal Vineyards 2014 Chamise Estate Grown Chardonnay (Edna Valley),Chardonnay,65.0,750 ml,92,Chamisal Vineyards,"Floral aromas of gardenia meet with crystalline peach notes and roasted macadamia nut pastry on the nose of this excellent bottling. The entry to the palate is soft, with rounded flavors of caramelized nectarine, vanilla and caramel, culiminating in a mouthwatering sea salt finish.",14.4%
Red,US,Big Basin 2013 Old Corral Syrah (Santa Cruz Mountains),Syrah,55.0,750 ml,92,Big Basin,"From the Alban Powerblock clone, this estate bottling shows elegant if still somewhat restrained aromas of black currant and violet on the nose. The palate is extremely well integrated and seamless, with dense black fruits lifted by kicks of purple flowers. Quite beautiful but nothing too flashy in any one direction.",14.5%
Red,US,Big Basin 2013 Odeon Syrah-Cabernet Sauvignon (Central Coast),Syrah-Cabernet Sauvignon,55.0,750 ml,92,Big Basin,"This bottling blends Syrah and Viognier from Chalone's Brosseau Vineyard with Cabernet Sauvignon from Santa Clara's Betchart Vineyard to deliver a dense, lavish core of blueberry and black currant fruit on the nose with hints of milk chocolate and mint. Thick tannins coat the palate, releasing more of that inky fruit along with peppery spice and lilac florality.",14.9%
Red,US,Betz Family 2014 Clos de Betz Red (Columbia Valley (WA)),Bordeaux-style Red Blend,60.0,750 ml,92,Betz Family,"Merlot (71%) takes the lead on this blend followed by Cabernet Sauvignon (19%) and Petit Verdot. It opens with aromas of herb, plum, pencil lead, smoke and barrel spice. The palate packs a mouthful of red and black-fruit flavors, showing an impeccable sense of balance and styling, followed by an extended finish.",14.5%
Red,US,Aubichon Cellars 2015 Pinot Noir (Willamette Valley),Pinot Noir,35.0,750 ml,92,Aubichon Cellars,"Rich round cherry fruit, lightly infused with tobacco highlights, introduces this delicious wine. There is a pleasing softness to the palate, without it being in any way flat or flabby. The fruit seems more mature than the young vintage would suggest, and it's drinking more like a wine from half a decade ago, which means you don't need to cellar it to get cellar-style flavors. Pie cherry, orange peel and even a touch of pineapple peeks through the lingering finish.",14.5%
Red,US,The Eyrie Vineyards 2014 Outcrop Pinot Noir (Dundee Hills),Pinot Noir,50.0,750 ml,92,The Eyrie Vineyards,"Outcrop was planted in 1982, and these older vines emphasize the elegance of the grape. This cuve seems most reflective of the Eyrie Pinots of the 1980s and 1990s, but with better overall ripeness and no old barrel funk. Tart cranberry and pomegranate fruits combine with ample citrusy acids and freshly cut herbs. Give this wine time and attention and it rewards you with extra dimensions.",13%
Red,US,Shea 2014 Estate Pinot Noir (Willamette Valley),Pinot Noir,45.0,750 ml,92,Shea,"This fragrant, thoroughly delicious blend is the most widely available offering from this esteemed grower/producer. Floral highlights, ripe cherry fruit, and lightly herbal, slightly stiff tannins are in balance, and show the muscle and structure of a big wine still in its infancy. Tuck it away for a couple more years and watch it blossom.",14.5%
Red,US,Prospect 772 2014 The Brawler Syrah (Calaveras County),Syrah,39.0,750 ml,92,Prospect 772,"Lavishly, densely ripe and fruity, this big, juicy wine has everything in spades, from the nearly black color to the jammy, dessert-like aromas to the saturated blackberry and black fig flavors to a full, opulent body and richly tannic texture. It sure packs a lot of power into each sip.",15.5%
Red,US,Patel 2013 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,175.0,750 ml,92,Patel,"Medium in weight and structure, this wine shows a tempting leanness at first, balancing its ripeness with complex notions of clove, cola and black cherry. Twisted in tannin and oak on the midpalate, its youthfulness on full display, it has a succulent finish.",14.9%
Red,US,Testarossa 2013 Meritage (Santa Cruz Mountains),Meritage,54.0,750 ml,92,Testarossa,"Bright and fresh aromas of black currant and Concord grape meet with violet and a sense of chalkiness on the nose of this blend of 57% Cabernet Franc, 29% Cabernet Sauvignon and 14% Merlot. The sip is bone-dry, relying on a graphite backbone and relatively light body to carry forth purple fruit flavors.",14.4%
Red,US,Ackerman Family Vineyards 2013 Cabernet Sauvignon (Coombsville),Cabernet Sauvignon,75.0,750 ml,88,Ackerman Family Vineyards,"From certified organic grapes, this light-styled wine is bittersweet in tobacco leaf, leather and black pepper, subdued in its approach to fruit. Toasted oak plays a subtle counterpart, integrated and very much in the background.",13.8%
Red,US,Beaulieu Vineyard 2014 Maestro Collection Ranch No. 5 Pinot Noir (Carneros),Pinot Noir,38.0,750 ml,88,Beaulieu Vineyard,"Herbal in a shock of dusty sage and black tea, this is a layered, robust wine, deep in raspberry and vanilla flavor with a mineral-laden belly of stone. The finish is tannic and lengthy, showy in oak.",14.5%
White,US,Beringer 2015 Private Reserve Chardonnay (Napa Valley),Chardonnay,48.0,750 ml,88,Beringer,"Sourced from the Gamble Ranch in Oakville, this is a fleshy, full-figured wine, floral in honeysuckle and voluptuous in youthful oak. Gravensteins apple is overtaken by the richness of butterscotch and tropical pineapple before a brightness comes to life on the finish.",14.9%
White,US,Arista 2014 UV El Diablo Vineyard Chardonnay (Russian River Valley),Chardonnay,70.0,750 ml,94,Arista,"Opening with a touch of petrol-like reduction on the nose, this Eastside Road-grown wine imparts lighter shades of apple blossom and grapefruit pith, while a well-hewn foundation of minerality forms its core. Deep toffee, caramel and fig tones develop in the glass, with an intensity of body and warmth on the finish.",14.9%
Red,US,Beaulieu Vineyard 2013 Georges de Latour Private Reserve Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,145.0,750 ml,94,Beaulieu Vineyard,"Velvety and plush on the palate, this classic Cabernet offers firm, youthful tannins and full-bodied concentration of dense black fruit. Cedar, dried herb and tobacco scents frame its core, broadcasting a burning intensity and sanguine chewiness. Cellar and enjoy best 20232033.",15.2%
Red,US,August West 2015 Graham Family Vineyard Pinot Noir (Russian River Valley),Pinot Noir,48.0,750 ml,94,August West,"Concentrated cherry and plum aromas meet with iron, cinnamon and gingersnap on the nose of this single-vineyard wine. The flavors surpass the aromas in succulencestar anise, nutmeg and bay leaf seemingly wrapped in buttered pastry.",14.4%
White,US,Arista 2014 Banfield Vineyard Chardonnay (Russian River Valley),Chardonnay,70.0,750 ml,94,Arista,"From a cool and fog-steeped pocket of the appellation, this wine is defined by its vibrant acidity and grippy structure. The densely packed palate features dried apricot, lime peel and nutmeg spice within a medium-bodied frame, those flavors lingering long into the finish.",14.5%
Red,US,Freemark Abbey 2013 Cabernet Bosch Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,150.0,750 ml,94,Freemark Abbey,"From a 22-acre site in the middle of the appellation, this is an impressive wine, softened by the addition of 6% Merlot. It boasts crushed rock, black currant and licorice flavors, with an attractive sanguine note. Pencil shavings, black pepper and cigar accents are present throughout.",14.5%
Red,US,Dragonette 2014 John Sebastiano Vineyard Syrah (Santa Ynez Valley),Syrah,55.0,750 ml,94,Dragonette,"Roasted meat, rosemary, peppercorn, dried flower and blackberry notes show on the wondrously gamy nose of this wine. The palate echos that savory style, with generous lamb, char, dark berry and peppercorn flavors.",14.5%
Red,US,Dutton-Goldfield 2014 Fox Den Vineyard Pinot Noir (Green Valley),Pinot Noir,62.0,750 ml,94,Dutton-Goldfield,"From a site above the town of Occidental, this is a beauty of a wine that's high in natural acidity and delicately layered with soft, velvety waves of texture. Raspberry, cherry and allspice flavors commingle, while a tease of blueberry comes into focus.",13.5%
White,US,Carlisle 2014 The Derivative White (Sonoma County),White Blend,28.0,750 ml,94,Carlisle,"2014 proves another banner year for this delightful blend of Smillon from Monte Rosso Vineyard, Muscadelle from Pagani Ranch and Palomino and Muscadelle from Saitone Ranch. High-toned in tart, refreshing acidity, it offers hints of vanilla biscuit with its lime, apple and melon flavors, lingering in memory for days.",13.8%
Red,US,Phillips Hill 2014 Valenti Vineyard Pinot Noir (Mendocino Ridge),Pinot Noir,45.0,750 ml,94,Phillips Hill,"This elegant, complex wine tastes like a delicate throwback to 1970s Burgundy in the way that it weaves its exotic, spicy and savory aromas with subtle fruit flavors. It's medium bodied and built of fine-grained tannins, reveal layer after layer with each sip. Best after 2019.",13%
Red,US,Challen 2013 Zotovich Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,60.0,750 ml,94,Challen,"The nose of this bottling from actress Challen Cates impresses with its spicy cherry, mulberry, juniper and mace notes. The palate is silky in texture and extremely well integrated, long-lasting and layered, with shiitake mushroom, forest floor, red cherry and earthy loam flavors.",14.5%
Red,US,Jaffurs 2013 Thompson Vineyard Syrah (Santa Barbara County),Syrah,50.0,750 ml,94,Jaffurs,"Lilac, crme de cassis and grape Jolly Rancher scents are layered with anise and lavender touches on the nose of this bottling from one of the winery's favorite vineyards. The palate dives into deep fruit flavors, like concentrated boysenberry and olallieberry, enlivened by Christmas spice, juniper and pine. It's all framed by an intense and unwavering tannic structure. Drink now2028.",14.5%
White,US,Solomon Hills 2014 Chardonnay (Santa Maria Valley),Chardonnay,45.0,750 ml,94,Solomon Hills,"Tightly wound and sharply focused, this bottling mixes white-fleshed fruit and lime zest scents with herb and mineral touches of chive, clay and wet slate. Its acidity stays zippy into its second day open, while sesame, sake and more mineral flavors emerge. Drink now2024.",13.1%
Red,US,ONX 2014 Reckoning Red (Templeton Gap District),Red Blend,54.0,750 ml,94,ONX,"ONX's current releases are quite delicious and complex. This rich, multi-layered blend of 63% Syrah, 21% Malbec, 11% Grenache and 5% Petite Sirah shows blackened plum, blueberry, soy, porcini mushroom and pepper notes on the nose. On the palate, blackberry, charred lamb and rosemary flavors are the story, framed by upright structure and powerful acidity.",15.5%
Red,US,Epoch Estate Wines 2013 Ingenuity Red (Paso Robles),Rhne-style Red Blend,70.0,750 ml,94,Epoch Estate Wines,"The winery's characteristic dense style is immediately apparent in this blend of 54% Syrah, 21% Mourvdre, 16% Grenache and 9% Petite Sirah. It offers black licorice, smoked meat, baked black cherry and graphite aromas, needing time to breathe before unleashing black coffee, elderberry jam, asphalt and charcoal flavors through tarry tannins. Drink 20182028.",15.8%
Red,US,Daou 2014 Micho Red (Adelaida District),Bordeaux-style Red Blend,75.0,750 ml,94,Daou,"Elegant and tightly wound kirsch, crme de cassis, charred beef and toffee aromas show on the nose of this blend of 55% Merlot and 45% Cabernet Sauvignon. Its toffee flavor is laced with chocolate and charcoal on the palate, and its sticky tannins need time to smooth out. Drink 20192029.",14.5%
Red,US,Law 2013 Sagacious Red (Paso Robles),Rhne-style Red Blend,70.0,750 ml,95,Law,"A testament to the power of Paso Robles' wines, this blend of 37% Grenache, 34% Mourvdre and 29% Syrah is dense, dark and viscous, showing candied blackberry, crme de cassis and pressed violet aromas, accented with cola and mocha notes. Soft, lush tannins massage the palate, growing grippier with time, while boisterous acidity releases blackberry, espresso and crushed slate flavors. Immensely likable now, it will also last for years.",15.4%
